STD_CITY,PROPERTY_ID,PROPERTY_CATEGORY_NAME,PROPERTY_NAME_TEXT,ORIGINAL_LOAN_AMOUNT,LOAN_MATURITY_DATE,OPIIS_SIZE_CATEGORY
Cambridge                   ,800227247.0,Insured-Unsubsidized,Cambridge Memorial Hospital,17544400.0,11/1/2035 12:00:00 AM,
Quartzsite                  ,800227282.0,Insured-Unsubsidized,Quartzsite Assisted Living,0.0,,
Annapolis                   ,800249138.0,Insured-Unsubsidized,The Lofts at Eastport Landing,0.0,,
Chicago                     ,800249236.0,Insured-Unsubsidized,Ravenswood Senior Living SLF,25400000.0,12/1/2062 12:00:00 AM,
Antioch                     ,800249625.0,Insured-Unsubsidized,Antioch Family and Senior Apartments,0.0,,
Vacaville                   ,800249383.0,Insured-Unsubsidized,Saratoga II Senior Apartments,0.0,,
Raleigh                     ,800249465.0,Insured-Unsubsidized,Knightdale Apartments,0.0,,
Grand Junction              ,800249470.0,Insured-Unsubsidized,Community Hospital,73884500.0,1/1/2049 12:00:00 AM,
Cocoa                       ,800249936.0,Insured-Unsubsidized,ARBOURS AT COCOA,0.0,,
Puyallup                    ,800249671.0,Insured-Unsubsidized,Village Cooperative of Puyallup,18248900.0,11/1/2062 12:00:00 AM,
San Diego                   ,800249700.0,Insured-Unsubsidized,Valencia Pointe Apartments,0.0,,
Madison                     ,800249755.0,Insured-Unsubsidized,OAKLAND SPRINGS APARTMENTS,42461100.0,5/1/2063 12:00:00 AM,
Commerce City               ,800249807.0,Insured-Unsubsidized,Greyhound Park Apartments,34000000.0,8/1/2041 12:00:00 AM,
Denver                      ,800249866.0,Insured-Unsubsidized,Pancratia Hall Lofts,7800000.0,6/1/2040 12:00:00 AM,
El Paso                     ,800248788.0,Insured-Unsubsidized,Garza Azul (Pre-App/221D4),0.0,,
Guavabo                     ,800248825.0,Insured-Unsubsidized,"Metro Pavia Health System-Artau Holdings, LLC",186384500.0,9/1/2045 12:00:00 AM,
Lyons                       ,800248912.0,Insured-Unsubsidized,Lyons Valley Townhomes,0.0,,
Bozeman                     ,800249006.0,Insured-Unsubsidized,Park Meadows Apartments,0.0,,
Alexandria                  ,800250195.0,Insured-Unsubsidized,Aspire at Alexandria,0.0,,
Tacoma                      ,800248713.0,Insured-Unsubsidized,MLK Apartments,0.0,,
Queens                      ,800249550.0,Insured-Unsubsidized,Hunter's Point South F & G,0.0,,
Boston                      ,800249620.0,Insured-Unsubsidized,Mattapan Station 4%,0.0,,
Boston                      ,800249621.0,Insured-Unsubsidized,Mattapan Station 9%,0.0,,
Lakewood                    ,800249123.0,Insured-Unsubsidized,Notable,0.0,,
Miami                       ,800231424.0,Insured-Unsubsidized,Diamond Point at Miami Gardens,0.0,,
San Antonio                 ,800231495.0,Insured-Unsubsidized,Touchstone Enclave Community,0.0,,
Columbus                    ,800237462.0,Insured-Unsubsidized,Arbor Pointe Phase II Apartments,2200000.0,12/1/2029 12:00:00 AM,High-Medium
Pittsburgh                  ,800213872.0,Insured-Unsubsidized,Ridgepointe Personal Care,0.0,,
Pittsburgh                  ,800213873.0,Insured-Unsubsidized,Overlook Green,0.0,,
Pittsburgh                  ,800213875.0,Insured-Unsubsidized,Rolling Hills Manor,0.0,,
Monticello                  ,800232904.0,Insured-Unsubsidized,The John & Mary E. Kirby Hosptial,30016000.0,5/1/2037 12:00:00 AM,
Atlanta                     ,800232917.0,Insured-Unsubsidized,Columbia Senior Residences at Mechanicsville,1505000.0,7/1/2039 12:00:00 AM,Low-Medium
Atlanta                     ,800232918.0,Insured-Unsubsidized,Columbia at Mechanicsville,4085385.0,6/1/2039 12:00:00 AM,High-Medium
Englewood                   ,800216737.0,Insured-Unsubsidized,Englewood Hospital & Medical Center,77926100.0,3/1/2041 12:00:00 AM,
Kellogg                     ,800218772.0,Insured-Unsubsidized,Shoshone Medical Center,13449000.0,8/1/2025 12:00:00 AM,Large
Blaine                      ,800231673.0,Insured-Unsubsidized,Blaine Senior Living,0.0,,
Las Vegas                   ,800232477.0,Insured-Unsubsidized,El Jen Convalescent Hospital,0.0,,
Rio Rancho                  ,800232510.0,Insured-Unsubsidized,UNM SANDOVAL REGIONAL MEDICAL CENTER,140047184.0,7/1/2037 12:00:00 AM,
Dillon                      ,800232671.0,Insured-Unsubsidized,Barrett Hospital & Healthcare,31921800.0,5/1/2037 12:00:00 AM,
Sacramento                  ,800249954.0,Insured-Unsubsidized,Klotz Ranch Apartments,0.0,,
Fraser                      ,800249957.0,Insured-Unsubsidized,Willows Apartments at Grand Park,0.0,,
Bronx                       ,800250052.0,Insured-Unsubsidized,Melrose North,0.0,,
Stayton                     ,800233021.0,Insured-Unsubsidized,Santiam Memorial Hospital,27100000.0,9/1/2037 12:00:00 AM,
Peru                        ,800232958.0,Insured-Unsubsidized,Caring Hands Health & Rehabilitation Center,0.0,,
Miami                       ,800237045.0,Insured-Unsubsidized,Palm Lake Apartments,16000000.0,2/1/2028 12:00:00 AM,
Marietta                    ,800237144.0,Insured-Unsubsidized,The  Retreat at Dorsey Manor,1683000.0,5/1/2026 12:00:00 AM,Low-Medium
Sacramento                  ,800237155.0,Insured-Unsubsidized,Terracina at Vineyard Apts,4600000.0,1/6/2041 12:00:00 AM,High-Medium
Florence                    ,800237432.0,Insured-Unsubsidized,Wynnbrook Pines Apts,2195000.0,5/1/2030 12:00:00 AM,High-Medium
Oswego                      ,800218864.0,Insured-Unsubsidized,Oswego Hospital,21679200.0,1/1/2032 12:00:00 AM,
Texarkana                   ,800233345.0,Insured-Unsubsidized,Renaissance Plaza,2687300.0,3/1/2028 12:00:00 AM,High-Medium
Wheeling                    ,800233411.0,Insured-Unsubsidized,"Wheeling Hospital, Inc.",58488202.0,4/1/2037 12:00:00 AM,
Mount Vernon                ,800235302.0,Insured-Unsubsidized,Knox Community Hospital,30691500.0,5/1/2038 12:00:00 AM,
Tequesta                    ,800231542.0,Insured-Unsubsidized,Tuscan Gardens,0.0,,
Schenectady                 ,800233907.0,Insured-Unsubsidized,Capital Living and Rehabilitation Centre,33598000.0,2/1/2044 12:00:00 AM,
Milpitas                    ,800234427.0,Insured-Unsubsidized,ASPEN FAMILY APARTMENTS,9900000.0,5/1/2028 12:00:00 AM,Large
Electra                     ,800235303.0,Insured-Unsubsidized,Electra District Hospital,11431300.0,5/1/2038 12:00:00 AM,Large
Hemet                       ,800235757.0,Insured-Unsubsidized,Village Meadows Apartments,5910000.0,12/1/2041 12:00:00 AM,High-Medium
Prattville                  ,800236018.0,Insured-Unsubsidized,Northport7-Prattville Health & Rehabilitation,9542700.0,10/1/2048 12:00:00 AM,Large
Libby                       ,800236306.0,Insured-Unsubsidized,St John' s Lutheran Hospital,27139600.0,6/1/2039 12:00:00 AM,
Ashland City                ,800236357.0,Insured-Unsubsidized,Vantage Pointe Village at Ashland Heights,0.0,,
Lake Elsinore               ,800236655.0,Insured-Unsubsidized,Lakeview I Apartments,5090000.0,4/1/2028 12:00:00 AM,High-Medium
Conway                      ,800233239.0,Insured-Unsubsidized,HomeTowne at Conway,3272800.0,3/1/2027 12:00:00 AM,High-Medium
Keller                      ,800231496.0,Insured-Unsubsidized,The Enclave at Stone Glen,0.0,,
New Orleans                 ,800238185.0,Insured-Unsubsidized,St. Joe Lofts I,1227000.0,11/1/2030 12:00:00 AM,Low-Medium
Riverside                   ,800232972.0,Insured-Unsubsidized,Parkview Community Hospital,30112000.0,2/1/2034 12:00:00 AM,
Columbus                    ,800236677.0,Insured-Unsubsidized,Arbor Pointe Phase I Apartments,4018000.0,5/1/2026 12:00:00 AM,High-Medium
Houston                     ,800236744.0,Insured-Unsubsidized,HomeTowne on Bellfort,10000000.0,11/1/2040 12:00:00 AM,Large
Durant                      ,800235021.0,Insured-Unsubsidized,TIMBER RIDGE,1100000.0,3/1/2028 12:00:00 AM,Low
Silver Spring               ,800233300.0,Insured-Unsubsidized,National Park Seminary,4020000.0,12/1/2027 12:00:00 AM,High-Medium
Brooklyn                    ,800250366.0,Insured-Unsubsidized,PACT Williamsburg Houses,0.0,,
Crossville                  ,800231302.0,Insured-Unsubsidized,Trinity Heights,0.0,,
Elk Grove                   ,800239757.0,Insured-Unsubsidized,Vintage at Laguna II,3220000.0,9/1/2043 12:00:00 AM,High-Medium
Holly                       ,800239965.0,Insured-Unsubsidized,Holly Convalescent,0.0,,
New Orleans                 ,800236926.0,Insured-Unsubsidized,Parish Hospital Service District-Parish of Orleans,95710500.0,8/1/2045 12:00:00 AM,
Denver                      ,800250219.0,Insured-Unsubsidized,The Reserve at Green Valley Ranch,20275000.0,7/1/2040 12:00:00 AM,
Washington                  ,800239370.0,Insured-Unsubsidized,Kuehner House Apts.,1555200.0,2/6/2031 12:00:00 AM,Low-Medium
Petaluma                    ,800239490.0,Insured-Unsubsidized,VINTAGE CHATEAU II APTS.,5730000.0,9/1/2043 12:00:00 AM,Large
Staatsburg                  ,800245042.0,Insured-Unsubsidized,Renaissance Rehabilitation & Nursing Center,0.0,,
Bronx                       ,800250233.0,Insured-Unsubsidized,Twin Parks Terrace,0.0,,
Brooklyn                    ,800250257.0,Insured-Unsubsidized,90 Sands,0.0,,
Columbus                    ,800233426.0,Insured-Unsubsidized,"Stillwater Hospital Association, Inc",14318000.0,9/1/2037 12:00:00 AM,
Coquille                    ,800233654.0,Insured-Unsubsidized,Coquille Valley Hospital District,22000000.0,4/1/2037 12:00:00 AM,
Washington                  ,800239368.0,Insured-Unsubsidized,Chesapeake Apts.,712800.0,2/1/2031 12:00:00 AM,Low
Washington                  ,800239369.0,Insured-Unsubsidized,Gasner House Apts.,1587600.0,6/1/2048 12:00:00 AM,Low-Medium
Detroit                     ,800234981.0,Insured-Unsubsidized,River Park Village Senior Apartments,5000000.0,1/1/2040 12:00:00 AM,High-Medium
Perris                      ,800236657.0,Insured-Unsubsidized,Meadowview I Apartments,4830000.0,4/1/2028 12:00:00 AM,High-Medium
Ewa Beach                   ,800240403.0,Insured-Unsubsidized,Ewa Villages,3630000.0,10/1/2043 12:00:00 AM,High-Medium
Sylacauga                   ,800240499.0,Insured-Unsubsidized,Sylacauga Health Care Authority,51287100.0,8/1/2039 12:00:00 AM,
Moline                      ,800245170.0,Insured-Unsubsidized,Garfield School Senior Residence,1276236.0,9/1/2055 12:00:00 AM,
Enola                       ,800245281.0,Insured-Unsubsidized,Hampden Greene Apartments,0.0,,
Bronx                       ,800245387.0,Insured-Unsubsidized,St. Barnabas Hospital,18328100.0,1/1/2043 12:00:00 AM,
Monticello                  ,800245495.0,Insured-Unsubsidized,Kirby Medical Center,5221400.0,5/1/2044 12:00:00 AM,Large
Delray Beach                ,800240860.0,Insured-Unsubsidized,VILLAGE AT DELRAY,6280000.0,7/1/2032 12:00:00 AM,Large
Alamosa                     ,800241229.0,Insured-Unsubsidized,San Luis Valley Regional Medical Center,21175000.0,8/1/2040 12:00:00 AM,
Orlando                     ,800243579.0,Insured-Unsubsidized,Guardian Care Center,0.0,,
Washington                  ,800239367.0,Insured-Unsubsidized,Bedford Falls Apts.,2527200.0,2/6/2031 12:00:00 AM,High-Medium
Stanton                     ,800242024.0,Insured-Unsubsidized,Catherine Assisted Living,0.0,,
Maple Valley                ,800242728.0,Insured-Unsubsidized,Fountain Court Senior Living,5047400.0,7/1/2051 12:00:00 AM,High-Medium
Foley                       ,800244027.0,Insured-Unsubsidized,Baldwin Trace,0.0,,
Alexander City              ,800244105.0,Insured-Unsubsidized,The Russell Hospital Corporation,30178500.0,1/1/2042 12:00:00 AM,
Oceanside                   ,800244266.0,Insured-Unsubsidized,Tri-City Healthcare District,85825000.0,4/1/2042 12:00:00 AM,
West Valley City            ,800244278.0,Insured-Unsubsidized,Traditions AL,5900000.0,8/1/2052 12:00:00 AM,Large
Mundelein                   ,800244359.0,Insured-Unsubsidized,Thrive of Lake County,25920000.0,8/1/2060 12:00:00 AM,
Los Angeles                 ,800244494.0,Insured-Unsubsidized,Hollywood Prebyterian Hospital,200000000.0,2/1/2046 12:00:00 AM,
Manitowoc                   ,800244552.0,Insured-Unsubsidized,Ensign WI - Harbor View,5336000.0,12/1/2052 12:00:00 AM,Large
Victorville                 ,800240511.0,Insured-Unsubsidized,RODEO DRIVE MEADOWS APARTMENTS,2175000.0,6/1/2043 12:00:00 AM,Low-Medium
Washington                  ,800239366.0,Insured-Unsubsidized,Chabraja,1717200.0,2/6/2031 12:00:00 AM,Low-Medium
Indianapolis                ,800245045.0,Insured-Unsubsidized,Oasis at 56th,17289000.0,7/1/2059 12:00:00 AM,
Folsom                      ,800240055.0,Insured-Unsubsidized,Forestwood at Folsom Apts,4140000.0,1/1/2044 12:00:00 AM,High-Medium
New Orleans                 ,800238186.0,Insured-Unsubsidized,St. Joe Lofts II,533000.0,11/1/2030 12:00:00 AM,Low
Bladensburg                 ,800238268.0,Insured-Unsubsidized,Park View at Bladensburg,3500000.0,12/1/2030 12:00:00 AM,High-Medium
Lecanto                     ,800243257.0,Insured-Unsubsidized,Veterans Village,0.0,,
San Francisco               ,800240859.0,Insured-Unsubsidized,Potrero Launch Apts,57585000.0,1/1/2044 12:00:00 AM,
Borger                      ,800247071.0,Insured-Unsubsidized,Senior Living- Borger Healthcare Center,0.0,,
Sugar Grove                 ,800247334.0,Insured-Unsubsidized,Chelsea Senior Commons Traditional RS,1650000.0,8/1/2050 12:00:00 AM,
Minneapolis                 ,800253004.0,Insured-Unsubsidized,APPLEWOOD POINTE COOP OF CORCORAN,0.0,,
Chattanooga                 ,800253013.0,Insured-Unsubsidized,RIVERWALK AT CAMERON HARBOR SOUTH,20844900.0,11/1/2058 12:00:00 AM,
Lawrence                    ,800253021.0,Insured-Unsubsidized,Stone Mill Apartments,0.0,,
San Jose                    ,800238564.0,Insured-Unsubsidized,BELOVIDA AT NEWBURY PARK APTS,12500000.0,2/1/2043 12:00:00 AM,
Madison                     ,800248375.0,Insured-Unsubsidized,Fair Oaks V2,5050000.0,9/1/2056 12:00:00 AM,
Detroit                     ,800248410.0,Insured-Unsubsidized,RESIDENCES at 150 BAGLEY,42312400.0,8/1/2064 12:00:00 AM,
Raritan                     ,800252675.0,Insured-Unsubsidized,Excelerate - Rehab at Rivers Edge,14347700.0,9/1/2058 12:00:00 AM,
Chicago                     ,800238568.0,Insured-Unsubsidized,Mercy Preservation Project,23105000.0,2/1/2031 12:00:00 AM,
Wilmington                  ,800238761.0,Insured-Unsubsidized,DANA STRAND APARTMENTS,10585887.0,8/1/2029 12:00:00 AM,Large
Round Rock                  ,800241614.0,Insured-Unsubsidized,Sundara of Round Rock,3662700.0,12/1/2057 12:00:00 AM,High-Medium
Fresno                      ,800241786.0,Insured-Unsubsidized,PLEASANT VIEW APARTMENTS,3800000.0,8/1/2024 12:00:00 AM,High-Medium
Granby                      ,800248208.0,Insured-Unsubsidized,Granby Rodeo Apartments,0.0,,
St Charles                  ,800248273.0,Insured-Unsubsidized,Anthony Place Prairie Center St. Charles,2500000.0,4/1/2061 12:00:00 AM,
Terre Haute                 ,800243150.0,Insured-Unsubsidized,"Union Hospital, Inc",60635600.0,9/1/2041 12:00:00 AM,
Upper Marlboro              ,800244595.0,Insured-Unsubsidized,Cambridge Place at Westphalia,0.0,,
Bellingham                  ,800252680.0,Insured-Unsubsidized,Sophia Place,0.0,,
New Orleans                 ,800252690.0,Insured-Unsubsidized,635 S. Peters Apartments,0.0,,
Brooklyn                    ,800252703.0,Insured-Unsubsidized,Greenpoint Landing H1H2,0.0,,
Pinole                      ,800252985.0,Insured-Unsubsidized,Vista Woods,0.0,,
Wildwood                    ,800252990.0,Insured-Unsubsidized,TL Management Cypress Care Center,21791700.0,4/1/2058 12:00:00 AM,
Fort Lauderdale             ,800252991.0,Insured-Unsubsidized,TL Management Ft. Lauderdale Health and Rehab,22355900.0,4/1/2058 12:00:00 AM,
Washington                  ,800239193.0,Insured-Unsubsidized,Park Morton Apts.,3640000.0,6/1/2043 12:00:00 AM,High-Medium
Deerfield Beach             ,800252728.0,Insured-Unsubsidized,DEERFIELD APARTMENTS,0.0,,
New York                    ,800252740.0,Insured-Unsubsidized,Sendero Vero Phase II,0.0,,
Quinton                     ,800252752.0,Insured-Unsubsidized,Cumberland at Patriots Landing,0.0,,
Royal Oak                   ,800247575.0,Insured-Unsubsidized,THE HARRISON POOLSIDE,0.0,,
Sylmar                      ,800247718.0,Insured-Unsubsidized,Metamorphosis on Foothill,0.0,,
Bridgeville                 ,800248102.0,Insured-Unsubsidized,Coastal Run at Heritage Shores,0.0,,
Maywood                     ,800252821.0,Insured-Unsubsidized,Maywood Supportive Living Facility,24995000.0,2/1/2064 12:00:00 AM,
Mesa                        ,800252824.0,Insured-Unsubsidized,Commons of Mesa,0.0,,
San Antonio                 ,800252858.0,Insured-Unsubsidized,S Hausman (Pre-App/221d4),0.0,,
Washington                  ,800252872.0,Insured-Unsubsidized,Euckal Apartments,16550100.0,6/1/2064 12:00:00 AM,
Washington                  ,800252924.0,Insured-Unsubsidized,MDXL Flats,0.0,,
Longwood                    ,800252928.0,Insured-Unsubsidized,KIWI AT FERN LAKE,0.0,,
Arden                       ,800252977.0,Insured-Unsubsidized,ARGENTO ON THE BROAD,0.0,,
Santa Clara                 ,800252979.0,Insured-Unsubsidized,Monroe Street Apartments,0.0,,
Los Angeles                 ,800252981.0,Insured-Unsubsidized,Asbury Apartments,0.0,,
Cranford                    ,800252677.0,Insured-Unsubsidized,Excelerate - Cranford Rehab and Nursing Center,21437100.0,9/1/2053 12:00:00 AM,
Bellingham                  ,800252679.0,Insured-Unsubsidized,Francis Park,0.0,,
Oakley                      ,800252983.0,Insured-Unsubsidized,Elm Lane Apartments,0.0,,
National City               ,800252984.0,Insured-Unsubsidized,Kimball Highland,0.0,,
Chicago                     ,800245597.0,Insured-Unsubsidized,Marshall Hotel,7422295.0,12/1/2059 12:00:00 AM,Large
Kaufman                     ,800252704.0,Insured-Unsubsidized,Ranch at Kings Fort Apartments,0.0,,
Pueblo                      ,800246518.0,Insured-Unsubsidized,Pueblo Springs Apartments,0.0,,
Arlington                   ,800246813.0,Insured-Unsubsidized,Pioneer Village Apartments,0.0,,
Mesa                        ,800250589.0,Insured-Unsubsidized,Coyote Landing,0.0,,
Boston                      ,800250816.0,Insured-Unsubsidized,Grance Apartments,0.0,,
New Orleans                 ,800250928.0,Insured-Unsubsidized,1717 Canal Street Lofts,0.0,,
Temecula                    ,800250948.0,Insured-Unsubsidized,RANCHO HIGHLAND APARTMENTS,0.0,,
Middletown                  ,800250680.0,Insured-Unsubsidized,Braemar at Wallkill,0.0,,
Cutler Bay                  ,800250693.0,Insured-Unsubsidized,Cabana Club Apartments,38900000.0,5/1/2036 12:00:00 AM,
Jackson                     ,800251527.0,Insured-Unsubsidized,VISION LIVING JACKSON,0.0,,
Santa Teresa                ,800245792.0,Insured-Unsubsidized,Valencia Hills Apartments,0.0,,
Lawrence                    ,800245804.0,Insured-Unsubsidized,"PAC 10 Lofts, Phase I",0.0,,
Chester                     ,800245885.0,Insured-Unsubsidized,The Reserve at Rivington,0.0,,
